get_anocheilon_feature,get_labium_feature,get_lip_feature,get_nasalBridge_feature,Disbursed,ID
10,19,52.18,21.09502311,0,1
22.09,28.07,58.75,56.32051136,1,2
16,29,53.6,38,0,3
19.03,28,48.54,44.10215414,0,4
12.04,19.03,102.04,29.01723626,0,5
25.02,32,50.97,42.01190308,0,6
39,44,59.48,69.0651866,0,7
24.02,36.01,68.56,44.10215414,0,8
27.07,31.26,41.14,79.51100553,1,9
26.02,39.05,54.36,47.01063709,0,10
18,33,58.11,42.10700654,0,11
13,20,33.09,29.01723626,0,12
27.02,34.13,56.2,62.07253821,1,13
10,16.03,85.74,26.01922366,0,14
15,21.02,88.13,47.01063709,0,15
11.05,26.08,68.25,34.71310992,0,16
13,18,42.72,24.0208243,0,17
19,31,38.7,54,0,18
10,16,59.21,26.01922366,0,19
21.02,34.01,51,38.11823711,0,20
13.04,24.02,80.23,48.01041554,1,21
16,24.02,49.79,30.06659276,0,22
29.02,40,49.3,62.03224968,1,23
16,23.02,65.97,40.11234224,0,24
17,25,65.44,46.09772229,0,25
28.07,43.1,63.33,52.15361924,0,26
13,18,51.33,23.02172887,0,27
12,18.03,98.43,27.01851217,0,28
10.05,17,83.96,22.09072203,0,29
11,19,72.11,27,0,30
10,16,38.56,29.15475947,0,31
13,21.02,54.25,26.01922366,0,32
12,22,61.14,24.0208243,0,33
20.4,38.64,54.19,62.96824597,1,34
13,23,52.81,22.02271555,0,35
10,18,63.4,27.01851217,0,36
27.02,39.05,58.92,62.07253821,0,37
10.05,19,113.38,23.02172887,0,38
12,18.03,50.26,24.51530134,0,39
16.12,30.15,44.43,41.43669871,0,40
29.27,41.59,53.7,68.73136111,1,41
24.08,33.06,62.49,49.36598019,0,42
22.09,33.06,70.67,56.00892786,0,43
21,32.06,41.17,58.03447251,0,44
30,35.01,60.11,75.16648189,1,45
21,32,41.21,58.00862005,1,46
14,20,68.94,28,0,47
19,27,39.97,59.07622195,1,48
21,29.02,81.97,44.01136217,0,49
13.04,28.07,36.32,43,0,50
26,37,58.64,47.04253395,0,51
25,32.06,63.78,53.03772242,0,52
32.14,39.46,71.36,75.23961722,1,53
10,18,56.36,26.01922366,0,54
8,17,86.23,26.07680962,0,55
12.04,20.02,81.72,27.01851217,0,56
14,24,61.67,23,0,57
18,31.02,38.83,40.19950248,0,58
12,20,83.16,20,0,59
26.02,33.02,57.47,52.03844733,0,60
20.1,28.07,68.3,48.09365863,0,61
8.06,15,87.72,27,0,62
29.07,39.05,50.29,61.13100686,1,63
26.02,34.01,66.56,54.14794548,0,64
13.04,24.08,41.63,55.08175742,1,65
13,19.03,69.47,22.02271555,0,66
14.04,18.03,41.28,28.0713377,0,67
28.02,35.06,67.54,64.00781202,0,68
21.02,34.06,38.69,50.08991915,0,69
23.02,37.05,61.49,42.04759208,0,70
17,25,54.56,34.0147027,0,71
28,46.01,63.46,47.01063709,0,72
11.05,16.03,59.87,25.01999201,0,73
25.02,41.01,66.71,40,0,74
12.04,18,75.59,24,0,75
12.04,20,79.48,25.07987241,0,76
18.03,35.01,51.45,42.04759208,0,77
19.1,38.12,62.86,44.55333882,0,78
19.03,28.16,48.3,36.22154055,0,79
25.08,36.06,48.49,45.27692569,0,80
25.02,34.01,73.65,59.13543777,1,81
28.02,42,62.58,50.15974482,0,82
34.06,45.1,63.21,72.24956747,1,83
34.06,42.11,55.63,67.47592163,1,84
